acq_date,latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
2020-01-01,-12.077,152.59,493.2,4.8,2.0,2355,Terra,MODIS,100,6.0NRT,340.6,2540.1,N
2020-01-02,-12.311,152.602,506.9,4.8,2.0,1655,Terra,MODIS,100,6.0NRT,400.1,2711.2,N
2020-01-03,-12.76,152.60299999999998,506.6,4.8,2.0,2350,Terra,MODIS,100,6.0NRT,400.1,7109.7,N
2020-01-04,-11.793,152.614,507.0,4.8,2.0,1645,Terra,MODIS,100,6.0NRT,400.1,1976.1,N
2020-01-05,-12.753,152.425,505.7,4.8,2.0,2335,Terra,MODIS,100,6.0NRT,400.1,4675.5,N
2020-01-06,-12.187999999999999,152.52100000000002,458.6,4.7,2.0,1630,Terra,MODIS,100,6.0NRT,400.1,2947.3,N
2020-01-07,-12.715,152.235,502.1,4.4,1.9,2325,Terra,MODIS,100,6.0NRT,400.1,2503.9,N
2020-01-08,-12.725999999999999,153.035,500.0,4.6,2.0,1620,Terra,MODIS,100,6.0NRT,341.9,11164.1,N
2020-01-09,-12.949000000000002,153.06799999999998,465.4,4.6,2.0,1525,Terra,MODIS,100,6.0NRT,339.1,2153.0,N
2020-01-10,-14.113,153.03799999999998,432.7,4.5,2.0,2355,Terra,MODIS,100,6.0NRT,320.5,617.9,N
2020-01-11,-14.573,151.468,472.1,4.7,2.0,1650,Terra,MODIS,100,6.0NRT,400.1,1050.0,N
2020-01-12,-15.745999999999999,150.998,462.3,4.8,2.0,2340,Terra,MODIS,100,6.0NRT,325.0,3838.3,N
2020-01-13,-16.221,151.263,476.4,4.5,2.0,1505,Terra,MODIS,100,6.0NRT,334.0,922.9,N
2020-01-14,-14.42,151.81799999999998,412.4,4.3,1.9,2330,Terra,MODIS,100,6.0NRT,317.8,1342.1,N
2020-01-15,-14.013,150.751,401.7,4.2,1.9,1620,Terra,MODIS,100,6.0NRT,317.9,289.7,N
2020-01-16,-13.158,150.343,448.4,4.6,2.0,1705,Terra,MODIS,100,6.0NRT,321.4,1094.6,N
2020-01-17,-14.208,148.336,407.3,4.5,1.9,2355,Terra,MODIS,100,6.0NRT,314.8,453.0,N
2020-01-18,-12.629000000000001,150.524,401.4,4.4,1.9,1655,Terra,MODIS,100,6.0NRT,325.1,309.1,N
2020-01-19,-13.165,151.981,372.5,4.5,2.0,1735,Terra,MODIS,100,6.0NRT,317.5,435.0,N
2020-01-20,-12.171,150.882,408.7,4.6,2.0,1645,Terra,MODIS,100,6.0NRT,318.2,402.5,N
2020-01-21,-12.734000000000002,153.026,425.1,4.7,2.0,2335,Terra,MODIS,100,6.0NRT,319.8,867.5,N
2020-01-22,-12.734000000000002,152.105,504.3,2.7,1.6,1805,Terra,MODIS,100,6.0NRT,400.1,1804.9,N
2020-01-23,-14.857999999999999,152.108,426.4,4.7,2.0,2325,Terra,MODIS,100,6.0NRT,324.0,1663.7,N
2020-01-24,-17.363,152.974,470.5,4.6,2.0,1445,Terra,MODIS,100,6.0NRT,334.1,1892.7,N
2020-01-25,-12.860999999999999,152.075,472.6,4.8,2.0,2310,Terra,MODIS,100,6.0NRT,339.5,1885.9,N
2020-01-26,-20.930999999999997,152.986,458.8,3.7,1.8,2355,Terra,MODIS,100,6.0NRT,327.8,3027.3,N
2020-01-27,-15.243,152.07,503.9,3.0,1.7,1650,Terra,MODIS,100,6.0NRT,400.1,1852.5,N
2020-01-28,-15.249,152.999,500.0,4.6,2.0,2340,Terra,MODIS,100,6.0NRT,357.8,4167.6,N
2020-01-29,-16.682000000000002,152.789,477.2,4.2,1.9,1635,Terra,MODIS,100,6.0NRT,400.1,2037.7,N
2020-01-30,-13.935,152.747,456.1,4.8,2.0,1720,Terra,MODIS,100,6.0NRT,330.0,3094.6,N
