,latitude,longitude,brightness
0,-11.6324,142.4906,326.8
1,-12.6216,142.7733,322.7
2,-12.6232,142.7845,334.5
3,-12.6383,142.2218,342.0
4,-12.6397,142.2324,330.2
5,-12.9046,143.2068,319.6
6,-12.9148,143.2055,331.6
7,-12.9164,143.2175,332.5
8,-12.9181,143.2295,332.5
9,-12.912,143.1089,327.2
10,-12.9136,143.1206,341.1
11,-12.9222,143.1076,323.7
12,-12.9238,143.1192,333.3
13,-12.9254,143.131,327.6
14,-12.9214,143.1131,342.9
15,-12.923,143.1249,338.9
16,-12.9512,143.1819,327.1
17,-12.9528,143.1939,327.9
18,-12.956,143.218,320.3
19,-12.97,143.1671,330.4
20,-12.9786,143.1536,331.4
21,-12.9835,143.1897,333.0
22,-12.9851,143.2017,329.4
23,-12.9904,143.1642,345.2
24,-12.9921,143.1762,335.7
25,-12.9953,143.2002,342.1
26,-12.997,143.2123,341.1
27,-12.0194,136.5192,330.6
28,-13.0055,143.1986,372.2
29,-13.0072,143.2108,364.3
30,-13.0088,143.22299999999998,325.8
31,-13.0125,143.1734,336.6
32,-13.0141,143.1853,353.0
33,-13.0157,143.1971,325.9
34,-13.0174,143.2091,371.8
35,-13.0191,143.2214,354.1
36,-12.0454,136.4343,331.8
37,-12.0537,136.4205,325.0
38,-12.0557,136.4327,340.0
39,-12.450999999999999,136.6612,331.7
40,-12.4994,136.6413,330.1
41,-13.2917,141.7737,341.5
42,-13.2931,141.7839,348.1
43,-13.2945,141.7941,327.1
44,-13.3012,141.7723,343.0
45,-13.3026,141.7825,327.2
46,-12.745999999999999,136.3869,335.3
47,-12.2621,132.5024,334.1
48,-12.2662,132.5258,329.2
49,-12.9871,136.4266,326.5
50,-12.9464,136.1091,336.8
51,-12.9484,136.1214,338.1
52,-12.9504,136.1338,340.4
53,-12.9524,136.1462,328.9
54,-12.9568,136.1074,352.8
55,-12.9607,136.1321,345.1
56,-12.3897,131.5714,326.4
57,-12.4044,131.5686,328.3
58,-12.3886,131.5643,323.4
59,-12.4034,131.5616,324.5
60,-12.4084,131.5889,325.3
61,-14.6893,141.9502,327.3
62,-14.6908,141.9611,337.0
63,-14.6923,141.9719,332.6
64,-14.6928,141.9547,337.2
65,-14.6942,141.9656,333.4
66,-14.6957,141.9764,328.4
67,-13.9298,136.6811,338.5
68,-13.9316,136.6922,352.6
69,-15.1534,145.1372,320.2
70,-15.1855,145.0953,321.0
71,-15.1999,145.1114,329.0
72,-15.1911,145.106,332.7
73,-15.2033,145.1045,322.5
74,-15.3431,143.8176,329.0
75,-15.3449,143.8321,326.8
76,-15.356,143.8307,338.1
77,-15.3579,143.8452,335.9
78,-15.4393,144.2149,328.5
79,-15.4413,144.2303,325.0
80,-15.437000000000001,144.2087,328.6
81,-15.4767,143.8823,326.4
82,-15.4785,143.89700000000002,326.7
83,-15.5209,144.2291,328.1
84,-15.4916,143.9102,325.4
85,-15.5031,143.9993,337.3
86,-15.505,144.0142,327.8
87,-15.4931,143.9192,325.1
88,-15.5022,143.9936,331.6
89,-15.504000000000001,144.0085,330.0
90,-15.5058,144.0235,326.3
91,-15.5298,144.222,326.2
92,-15.520999999999999,143.9606,335.7
93,-15.5303,143.9443,331.6
94,-15.5322,143.9591,325.4
95,-13.6527,131.3585,325.9
96,-15.6076,144.1019,323.8
97,-15.6096,144.1172,328.8
98,-15.6215,144.2105,327.6
99,-15.617,144.085,325.0
100,-15.6076,144.1112,329.8
101,-13.6573,131.3786,328.9
102,-15.5918,143.7952,325.0
103,-15.5936,143.8098,341.0
104,-15.5954,143.8243,326.8
105,-15.6174,144.0025,324.6
106,-15.6266,144.0777,337.2
107,-15.6417,144.2014,324.3
108,-13.6719,131.3759,326.3
109,-15.6286,144.001,328.4
110,-15.6324,144.0313,326.7
111,-15.6342,144.0461,335.7
112,-15.6361,144.0611,339.9
113,-15.6398,144.0915,331.6
114,-15.6417,144.1065,332.6
115,-15.6213,143.7616,333.5
116,-15.6625,143.9965,323.9
117,-15.685,143.9932,328.5
118,-15.684000000000001,143.9874,327.6
119,-14.5315,135.3855,333.8
120,-14.5337,135.3987,333.3
121,-15.7587,143.7676,346.1
122,-15.7606,143.7821,335.5
123,-14.5268,135.3931,335.9
124,-15.759,143.761,334.9
125,-15.7607,143.7755,344.8
126,-15.7923,143.7566,336.4
127,-15.8201,143.8875,343.1
128,-15.8199,143.7084,338.7
129,-15.8425,143.8846,336.4
130,-15.831,143.707,335.0
131,-15.887,143.873,338.4
132,-15.8982,143.6925,335.8
133,-15.9148,143.6469,345.7
134,-15.9167,143.6611,348.2
135,-15.9259,143.6455,379.6
136,-15.9278,143.6598,363.8
137,-15.9173,143.6545,358.1
138,-15.9266,143.6388,342.4
139,-15.9284,143.6532,377.6
140,-16.6009,144.9481,334.9
141,-16.6031,144.9661,329.0
142,-16.6066,144.8921,331.1
143,-16.6145,144.8544,332.8
144,-16.6097,144.8853,333.4
145,-16.6383,144.9177,328.3
146,-16.6912,144.8386,325.4
147,-16.6933,144.8565,328.8
148,-16.6955,144.8747,328.4
149,-16.6978,144.8931,326.6
150,-16.6967,144.8507,332.6
151,-16.6988,144.8688,330.0
152,-16.7009,144.887,328.1
153,-16.7112,144.9778,331.5
154,-15.7317,136.4149,363.1
155,-15.7335,136.4259,359.7
156,-15.7925,129.5061,334.4
157,-15.7628,128.869,334.7
158,-15.7796,128.8656,342.5
159,-15.7868,128.9036,336.9
160,-15.7656,128.8609,336.9
161,-15.7732,128.8989,331.8
162,-15.7899,128.8954,334.2
163,-18.843,145.7135,328.7
164,-18.8589,145.7343,327.9
165,-16.5395,128.5249,333.0
166,-19.1142,144.07399999999998,323.8
167,-26.1934,146.6634,328.5
168,-26.1962,146.6983,330.4
169,-26.1885,146.6919,332.8
170,-27.3436,128.9037,324.8
171,-16.0104,124.9036,326.6
172,-16.0114,124.8961,326.8
173,-16.1285,125.0082,327.6
174,-16.1334,125.0446,328.0
175,-16.1523,124.8778,328.2
176,-16.1697,124.876,333.6
177,-16.1536,124.8709,328.5
178,-16.171,124.8691,331.9
179,-16.1748,124.9097,327.8
180,-16.4398,124.7103,327.7
181,-16.4421,124.7043,328.8
182,-31.7927,115.8388,317.0
183,-31.855,115.8928,317.2
184,-31.9041,115.8179,317.4
185,-32.0625,115.9209,319.3
186,-34.8345,117.04799999999999,306.6
187,-34.8366,117.0707,321.5
188,-34.8366,117.0651,320.7
189,-34.8385,117.0878,311.5
190,-40.9452,147.6686,305.1
191,-33.8206,150.7975,324.8
192,-33.2126,150.6077,320.8
193,-33.2141,150.5964,322.6
194,-33.2033,150.6059,448.2
195,-33.2048,150.5946,465.4
196,-33.2063,150.5831,336.1
197,-33.1941,150.60399999999998,364.5
198,-33.1955,150.5927,461.2
199,-33.1969,150.5815,443.9
200,-33.1984,150.5699,331.2
201,-33.1862,150.591,443.5
202,-33.1876,150.5797,487.0
203,-33.1891,150.5681,395.8
204,-33.1802,150.5957,344.1
205,-33.1816,150.5845,418.7
206,-33.1831,150.57299999999998,434.4
207,-33.1846,150.5615,386.7
208,-33.1862,150.5498,340.5
209,-33.1877,150.5382,333.9
210,-33.1891,150.5268,393.7
211,-33.1906,150.5154,350.1
212,-33.1724,150.5825,377.5
213,-33.1739,150.5711,400.8
214,-33.1754,150.5596,401.9
215,-33.1768,150.5482,385.5
216,-33.1783,150.5369,384.4
217,-33.1798,150.5253,387.7
218,-33.1813,150.5138,364.9
219,-33.1827,150.5026,334.4
220,-33.1857,150.4794,410.3
221,-33.1872,150.4678,371.9
222,-33.1631,150.5807,326.9
223,-33.1646,150.5692,333.3
224,-33.1661,150.5578,338.0
225,-33.1675,150.5465,361.0
226,-33.169000000000004,150.5353,349.8
227,-33.1705,150.5237,363.7
228,-33.1719,150.5122,344.5
229,-33.1734,150.5009,338.7
230,-33.1749,150.4891,324.3
231,-33.1764,150.4777,424.8
232,-33.1779,150.4662,445.5
233,-33.1794,150.4545,363.0
234,-33.1538,150.5791,328.0
235,-33.1553,150.5675,329.6
