,latitude,longitude,acq_date,frp
0,-18.410999999999998,145.322,1,33.2
1,-18.42,145.308,1,61.7
2,-18.422,145.321,1,47.0
3,-18.438,145.281,1,34.9
4,-18.439,145.293,1,22.5
5,-18.148,142.975,1,21.1
6,-18.16,142.993,1,23.4
7,-18.297,143.11700000000002,1,11.3
8,-14.718,143.75,1,21.9
9,-14.72,143.769,1,35.5
10,-15.118,141.702,1,14.5
11,-15.128,141.71,1,17.4
12,-16.006,145.123,1,14.3
13,-15.137,141.709,1,15.4
14,-15.407,142.97,1,10.5
15,-16.004,145.118,1,28.2
16,-16.004,145.112,1,17.3
17,-14.714,143.77700000000002,1,12.7
18,-14.712,143.767,1,25.2
19,-14.482999999999999,143.58,1,8.0
20,-13.205,143.14700000000002,1,27.9
21,-14.475,143.591,1,7.6
22,-14.474,143.58100000000002,1,55.8
23,-16.014,145.111,1,11.5
24,-16.016,145.122,1,26.9
25,-16.017,145.13299999999998,1,20.3
26,-15.573,141.542,1,14.0
27,-25.413,128.398,1,68.4
28,-25.403000000000002,128.35399999999998,1,66.5
29,-25.414,128.405,1,59.0
30,-25.404,128.361,1,85.7
31,-25.057,128.939,1,232.0
32,-25.046999999999997,128.89600000000002,1,181.1
33,-25.061999999999998,128.898,1,57.2
34,-25.055,128.946,1,184.7
35,-25.045,128.903,1,145.6
36,-25.416999999999998,149.19,1,54.2
37,-25.405,149.22299999999998,1,49.4
38,-24.871,147.749,1,55.3
39,-24.877,147.755,1,42.2
40,-24.664,146.806,1,38.2
41,-24.651,146.80700000000002,1,53.8
42,-21.000999999999998,135.28,1,36.3
43,-20.998,135.262,1,46.9
44,-20.993000000000002,135.269,1,80.5
45,-21.508000000000003,140.77100000000002,1,26.0
46,-21.499000000000002,140.77200000000002,1,15.7
47,-21.416999999999998,140.841,1,38.5
48,-21.375999999999998,140.691,1,33.2
49,-21.369,140.702,1,97.3
50,-21.366999999999997,140.692,1,71.8
51,-21.35,140.701,1,17.7
52,-20.531,138.579,1,14.9
53,-19.279,139.125,1,25.4
54,-19.91,144.546,1,46.2
55,-19.902,144.56,1,22.2
56,-19.9,144.548,1,20.8
57,-19.885,144.586,1,18.1
58,-19.842,144.489,1,14.2
59,-19.844,144.586,1,19.1
60,-19.843,144.57399999999998,1,24.2
61,-20.089000000000002,147.025,1,23.3
62,-19.627,144.55700000000002,1,59.0
63,-19.625,144.545,1,31.4
64,-19.617,144.558,1,17.7
65,-19.608,144.572,1,23.7
66,-19.598,144.57299999999998,1,16.2
67,-19.599,144.579,1,13.4
68,-19.597,144.567,1,13.6
69,-19.414,143.359,1,61.1
70,-19.238,146.124,1,27.7
71,-19.215999999999998,146.127,1,38.1
72,-19.205,146.128,1,26.2
73,-19.147000000000002,145.929,1,11.4
74,-15.95,143.41899999999998,1,10.4
75,-15.957,143.412,1,26.0
76,-18.469,144.03799999999998,1,24.4
77,-14.850999999999999,134.27700000000002,1,36.5
78,-14.856,134.303,1,37.3
79,-14.856,134.296,1,51.8
80,-16.63,145.15,1,23.2
81,-16.64,145.148,1,48.2
82,-16.642,145.161,1,30.8
83,-17.084,144.658,1,25.5
84,-17.405,145.239,1,25.0
85,-16.357,137.685,1,43.6
86,-16.36,137.69899999999998,1,25.0
87,-16.359,137.678,1,20.3
88,-16.361,137.692,1,40.8
89,-16.364,137.70600000000002,1,29.1
90,-16.519000000000002,137.339,1,32.7
91,-16.67,137.94299999999998,1,22.0
92,-17.85,143.335,1,28.0
93,-18.117,144.224,1,29.2
94,-18.118,144.235,1,11.4
95,-18.36,145.31,1,40.4
96,-18.362000000000002,145.322,1,23.5
97,-18.383,145.32,1,32.9
98,-18.393,145.31799999999998,1,20.1
99,-18.395,145.33100000000002,1,28.1
100,-18.39,145.217,1,19.7
101,-18.403,145.317,1,15.4
102,-18.405,145.33,1,35.3
103,-18.414,145.316,1,54.2
104,-18.415,145.329,1,24.0
105,-18.105,143.001,1,20.0
106,-35.724000000000004,136.81799999999998,1,20.3
107,-35.758,136.731,1,27.7
108,-35.759,136.799,1,152.5
109,-35.757,136.78799999999998,1,198.9
110,-35.755,136.77700000000002,1,22.5
111,-35.75,136.744,1,41.3
112,-35.75,136.80100000000002,1,218.7
113,-35.748000000000005,136.79,1,242.5
114,-35.746,136.779,1,73.3
115,-35.743,136.757,1,40.2
116,-35.741,136.746,1,65.8
117,-35.741,136.803,1,144.2
118,-35.739000000000004,136.792,1,186.6
119,-35.736999999999995,136.781,1,42.0
120,-35.734,136.759,1,104.7
121,-35.733000000000004,136.816,1,30.7
122,-35.732,136.805,1,251.2
123,-35.73,136.79399999999998,1,51.5
124,-35.727,136.77200000000002,1,84.3
125,-35.725,136.761,1,58.3
126,-35.723,136.80700000000002,1,110.1
127,-35.721,136.796,1,59.5
128,-35.719,136.785,1,75.5
129,-35.77,141.33700000000002,1,468.4
130,-35.768,141.322,1,75.0
131,-35.76,141.338,1,65.5
132,-35.937,147.518,1,77.6
133,-35.895,147.58700000000002,1,108.8
134,-35.94,147.524,1,67.4
135,-35.883,147.593,1,130.7
136,-35.635,148.218,1,157.4
