latitude,longitude,frp
-40.9452,147.6686,15.0
-34.8955,117.0203,470.1
-34.8911,117.0226,676.9
-34.8809,117.0747,29.8
-34.8781,117.01299999999999,519.6
-34.8738,117.0152,685.6
-34.8709,117.073,32.8
-34.8608,117.0057,283.9
-34.8564,117.008,241.8
-34.8489,117.041,82.1
-34.8392,117.0733,82.5
-34.8385,117.0878,24.5
-34.8366,117.0651,47.1
-34.8366,117.0707,50.1
-34.8345,117.04799999999999,14.8
-34.7518,147.0128,9.4
-34.4616,150.8806,13.1
-33.8206,150.7975,6.9
-33.3861,115.9443,9.5
-33.2892,150.8089,19.5
-33.286,150.7922,26.5
-33.2748,150.7949,44.5
-33.2625,150.8527,12.5
-33.2386,150.5916,29.5
-33.2372,150.6617,59.3
-33.2353,150.6088,139.1
-33.234,150.6451,44.1
-33.2319,150.6259,85.3
-33.2308,150.5709,14.0
-33.2307,150.6281,35.7
-33.2299,150.5833,43.4
-33.2275,150.5881,42.9
-33.2273,150.6108,30.8
-33.2267,150.6004,37.2
-33.2239,150.5931,43.6
-33.2235,150.6175,27.8
-33.2229,150.55100000000002,14.2
-33.2219,150.5631,33.5
-33.2204,150.575,60.1
-33.2196,150.56799999999998,46.3
-33.2141,150.5964,12.8
-33.2139,150.5431,48.2
-33.2126,150.6077,11.4
-33.2108,150.5593,34.2
-33.2063,150.5831,27.8
-33.2059,150.5237,9.7
-33.2048,150.5946,1013.8
-33.2033,150.6059,745.4
-33.2028,150.5395,40.6
-33.1996,150.5564,56.6
-33.1984,150.5699,21.1
-33.1981,150.5024,19.8
-33.1979,150.5821,45.4
-33.1975,150.6299,29.7
-33.1969,150.4472,21.5
-33.1969,150.5815,685.2
-33.1964,150.5733,81.6
-33.1959,150.45,24.3
-33.1955,150.5927,939.9
-33.1943,150.5637,49.4
-33.1941,150.60399999999998,95.6
-33.1935,150.4651,21.5
-33.1915,150.5372,43.7
-33.1906,150.5154,55.7
-33.1903,150.4818,35.4
-33.1895,150.6096,81.5
-33.1891,150.5268,227.5
-33.1891,150.5681,239.2
-33.1883,150.5541,70.4
-33.1881,150.4714,28.7
-33.1877,150.5382,24.5
-33.1876,150.5797,1443.2
-33.1874,150.6447,58.3
-33.1872,150.4678,124.8
-33.1871,150.4986,37.0
-33.1862,150.5498,33.4
-33.1862,150.591,680.7
-33.1862,150.627,153.3
-33.1857,150.4446,34.2
-33.1857,150.4794,344.9
-33.1855,150.6396,71.1
-33.1851,150.5707,30.3
-33.1846,150.4535,42.5
-33.1846,150.5615,186.4
-33.1841,150.6271,52.1
-33.1838,150.516,27.3
-33.1831,150.57299999999998,570.2
-33.1827,150.5026,25.5
-33.1826,150.4609,33.1
-33.1821,150.6221,29.1
-33.1816,150.5845,410.7
-33.1815,150.7368,30.2
-33.1813,150.5138,97.6
-33.1802,150.5957,43.4
-33.1798,150.5253,194.0
-33.1795,150.6649,51.0
-33.1794,150.4545,93.0
-33.1783,150.5369,176.3
-33.1779,150.4662,715.2
-33.1777,150.6599,48.8
-33.1768,150.5482,182.4
-33.1764,150.4777,471.9
-33.1762,150.6478,47.3
-33.176,150.4954,54.4
-33.1754,150.5596,276.1
-33.1749,150.4891,9.3
-33.1739,150.5711,269.0
-33.1734,150.5009,30.2
-33.1726,150.5127,27.1
-33.1724,150.5825,143.7
-33.1719,150.5122,40.2
-33.1716,150.6853,81.0
-33.1705,150.5237,90.3
-33.1704,150.4027,29.5
-33.17,150.453,217.0
-33.1693,150.3482,22.2
-33.1693,150.53,17.2
-33.169000000000004,150.4958,33.7
-33.169000000000004,150.5353,51.2
-33.1688,150.4141,23.4
-33.1685,150.4646,227.0
-33.1682,150.668,90.8
-33.1675,150.5465,81.6
-33.1673,150.3595,71.5
-33.1671,150.365,46.7
-33.1671,150.476,69.7
-33.1669,150.4206,27.5
-33.1661,150.5578,25.1
-33.1658,150.3659,109.6
-33.1656,150.4874,30.5
-33.1646,150.5692,18.8
-33.1641,150.499,20.2
-33.164,150.377,90.6
-33.1637,150.7057,48.4
-33.1631,150.5807,11.5
-33.1624,150.3839,34.7
-33.1624,150.566,25.8
-33.1622,150.4394,26.6
-33.1607,150.4513,59.6
-33.1603,150.6882,88.4
-33.1594,150.3396,30.5
-33.1592,150.463,15.6
-33.1588,150.3911,15.9
-33.1573,150.4029,31.8
-33.1559,150.3585,45.8
-33.1558,150.726,110.1
-33.1553,150.5675,13.9
-33.1552,150.3434,56.4
-33.1551,150.3652,39.7
-33.1543,150.4262,10.4
-33.1538,150.3546,58.4
-33.1538,150.5791,12.5
-33.1528,150.4381,69.5
-33.1525,150.7089,185.6
-33.1524,150.3661,39.7
-33.1516,150.3477,57.9
-33.1513,150.4497,30.8
-33.1491,150.6914,69.3
-33.1481,150.3379,26.7
-33.1459,150.3413,49.0
-33.145,150.4245,20.4
-33.1446,150.7292,220.8
-33.1444,150.3533,14.2
-33.1434,150.4365,17.7
-33.1413,150.71200000000002,121.7
-33.1405,150.3169,12.7
-33.1405,150.3525,20.2
-33.138000000000005,150.3281,24.0
-33.137,150.3351,29.5
-33.1366,150.3329,29.5
-33.1365,150.3399,29.2
-33.1286,150.3264,17.4
-33.1244,150.5856,28.4
-33.1238,150.3188,18.7
-33.123000000000005,150.5968,73.4
-33.1222,150.33100000000002,21.5
-33.1181,150.3122,19.6
-33.1151,150.5838,118.0
-33.1144,150.3176,152.6
-33.114000000000004,150.3265,24.9
-33.1137,150.5951,163.5
-33.1129,150.3293,89.5
-33.1101,150.3221,29.9
-33.1094,150.6099,22.7
-33.1073,150.5707,26.4
-33.1058,150.5821,75.3
-33.1049,150.3162,21.3
-33.1044,150.5935,124.4
-33.104,150.3253,20.8
-33.1035,150.3275,213.5
-33.1029,150.6047,6.5
-33.1025,150.3295,19.2
-33.102,150.3392,42.1
-33.098,150.5689,149.2
-33.0965,150.5802,57.2
-33.0947,150.5956,31.2
-33.0941,150.326,10.3
-33.091,150.5728,77.6
-33.0895,150.5842,140.8
-33.088,150.5955,58.0
-33.0862,150.3129,115.2
-33.0847,150.3244,107.2
-33.0832,150.5598,65.7
-33.0817,150.5711,91.4
